"id_training_data";"id_berita";"id_topik";"berita";"training_class"
"5486";"36";"1";"Sandi Disawer Pendukungnya di Surabaya Rp 6,1 Juta";"None"
"5487";"37";"1";"Kades Terpidana Pemilu Dibesuk Sandiaga, Istri: Saya Ikut Semangat";"None"
"5488";"38";"1";"Cerita Ayah-Anak Selamat saat Longsor Terjang Kampung Adat";"None"
"5489";"39";"1";"Begal dan Pencurian Motor di Pasuruan Masih Marak Sepanjang 2018";"None"
"5490";"40";"1";"Tolak Temui ORI Terkait Dugaan Perkosaan, Rektor UGM Beri Penjelasan";"None"
"5491";"41";"1";"Satgas Terpadu Pulihkan Trauma Korban Selamat Longsor Sukabumi";"None"
"5492";"42";"1";"Polisi Selidiki Dugaan Korupsi Pembangunan Jembatan di Garut";"None"
"5493";"43";"1";"2 Warga Banjarnegara Terjebak Banjir Saat Perbaiki Alat Berat";"None"
"5494";"44";"1";"Janji Ridwan Kamil dan Duka Nestapa Kakak-Adik Korban Longsor";"None"
"5495";"45";"1";"Gagal Bawa Kabur Hasil Curian, Maling Motor Kritis Dimassa";"None"
"5496";"46";"1";"Perkosa Anak Tiri, Pria ini Cuma Bisa Menangis di Depan Polisi";"None"
"5497";"47";"1";"Petugas Angkat 5 Mayat Tertimbun Longsor Kampung Adat Sukabumi";"None"
"5498";"48";"1";"Banyuwangi Gandeng BUMN Kembangkan Kaum Milenial Pesantren";"None"
"5499";"49";"1";"Motor Diseruduk Mobil, Pasutri Jatuh Lalu Tewas Terlindas Truk";"None"
"5500";"50";"1";"Janji Ditagih Pedagang Pasar Tunjungan, Begini Respons PD Pasar Surya";"None"
"5501";"51";"1";"Kemenristek Rapat Hadapi Era Disrupsi dan Siapkan SDM Millenial";"None"
"5502";"52";"1";"2 Warga Surabaya Tewas Usai Pesta Miras Oplosan di Malam Tahun Baru";"None"
"5503";"53";"1";"Pendapatan Turun, Ojek Konvensional di Wonosobo Tolak Ojol";"None"
"5504";"54";"1";"Detik-detik Pasangan Mahasiswi-Santri di Kediri Buang Bayi Mereka";"None"
"5505";"55";"1";"Pedagang Pasar Tunjungan Tagih Janji Pemkot Surabaya";"None"
"5506";"56";"1";"Kuliah ke Luar Negeri, Disarankan Komunikasi dengan Kemenristek";"None"
"5507";"57";"1";"Hasan Aminuddin: Saya Dengar Sendiri Jokowi Lantunkan Bacaan Salat";"None"
"5508";"58";"1";"Jelang Dhaup Ageng, 4 Masjid Pakualaman Gelar Doa Bersama";"None"
"5509";"59";"1";"Bus Vs Truk di Banyuwangi, Tiga Orang Luka";"None"
"5510";"60";"1";"Ada Perusakan Nisan di Magelang, Gubernur Ganjar: Laporkan Polisi";"None"
"5511";"61";"1";"Ganjar Ingin SKTM Tidak Berlaku di Penerimaan Siswa Baru";"None"
"5512";"62";"1";"4 Mayat Ditemukan, Petugas Masih Cari 11 Korban Longsor Sukabumi";"None"
"5513";"63";"1";"Ridwan Kamil Rotasi 24 Pejabat Pemprov Jabar";"None"
"5514";"64";"1";"PKS Tak Hiraukan Garbi Muncul di Jabar";"None"
"5515";"65";"1";"Survei SSI, Warga Kediri 70% Pilih Jokowi-Ma'ruf Amin";"None"
"5516";"66";"1";"Mahasiswa Kerja Paksa di Taiwan, Menristek: Ada Permainan Disana";"None"
"5517";"67";"1";"Ketua DPC Gerindra Bondowoso Jadi Tersangka Penipuan Rp 700 Juta";"None"
"5518";"68";"1";"Berkah Nurhadi Jadi 'Capres Dagelan': Orderan Kaosnya Melonjak";"None"
"5519";"69";"1";"Catat! Seleksi Masuk PTN Tahun Ini Akan Diubah Menjadi Begini";"None"
"5520";"70";"1";"Mobil Isi 7 Orang Terguling di Jalur Batu-Mojokerto, 2 Tewas";"None"
"5521";"71";"1";"3 Akun Medsos Dilaporkan ke Polda DIY Soal Surat Suara Tercoblos";"None"
"5522";"72";"1";"10 Unit Bus Suroboyo Baru Resmi Diluncurkan";"None"
"5523";"73";"1";"4 Remaja Putus Sekolah Pelaku Klithih Tertangkap di Sleman";"None"
"5524";"74";"1";"Galian Basemen RS Siloam Diuruk, Perizinan Proyek Harus Diulang";"None"
"5525";"75";"1";"Bermodal Rp 5 Juta, Staf BPBD Banjarnegara Rakit Dektektor Longsor";"None"
"5526";"76";"1";"Warga Tak Terima Penculik 3 Pelajar di Magetan Berdamai, Ini Alasannya";"None"
"5527";"77";"1";"Jelang Dhaup Ageng Pakualaman, Tradisi Midodareni Digelar Malam Nanti";"None"
"5528";"78";"1";"Belasan Rumah di Banyuwangi Terendam Air Sungai yang Meluap";"None"
"5529";"79";"1";"3 Kerajaan dari Yogya dan Solo Ikuti Prosesi Siraman Dhaup Ageng";"None"
"5530";"80";"1";"Proyek Belum Terbayar, Puluhan Rekanan Dinkes Jember Mengadu ke Dewan";"None"
"5531";"81";"1";"Tersisa 2 Orang Belum Ditemukan di Lokasi Longsor Kampung Adat";"None"
"5532";"82";"1";"Lelaki Tanpa Identitas Gantung Diri di Gudang Majun Bandung";"None"
"5533";"83";"1";"Kendala Pencarian Hari Keempat Pendaki Hilang di Gunung Lawu";"None"
"5534";"84";"1";"Milenial Gabung, PPP Optimistis Raih 14 Kursi di DPRD Jabar";"None"
"5535";"85";"1";"Terjadi Hujan Abu di Kawasan Merapi, Begini Penjelasan BPPTKG";"None"
"5536";"86";"1";"Soal Putus Kontrak BPJS-RS, Komisi IX Pertanyakan Akreditasi";"None"
"5537";"87";"1";"Pemkot Surabaya Percantik Kawasan Cagar Budaya";"None"
"5538";"88";"1";"8 Kabupaten di Jatim Rawan Tsunami, Kapolda: akan Gelar Simulasi";"None"
"5539";"89";"1";"Polisi Pastikan Perusak Nisan di Magelang adalah Pelaku Tunggal";"None"
"5540";"90";"1";"Petugas Angkat Mayat Wanita yang Tertimbun Batu di Area Longsor";"None"
"5541";"91";"1";"Tarif Prostitusi Online Artis VA Capai Rp 80 Juta";"None"
"5542";"92";"1";"Muncul Spanduk 'Mahasiswa-Alumni UGM' Desak Andi Arief Ditangkap";"None"
"5543";"93";"1";"Dua Artis Ditangkap dalam Jaringan Prostitusi Online, VA dan AF";"None"
"5544";"94";"1";"Polda Jatim Bongkar Prostitusi Online Libatkan Dua Artis";"None"
"5545";"95";"1";"Pelaku Perusakan Nisan di Magelang Eks Pasien Rumah Sakit Jiwa";"None"
"5546";"96";"1";"Perusak Nisan di 4 Makam Kota Magelang Akhirnya Tertangkap";"None"
"5547";"97";"1";"Detik-detik Panggih, Prosesi Paling Sakral Dhaup Ageng Pakualaman";"None"
"5548";"98";"1";"Polda Jatim Gelar Simulasi Bencana Tsunami di Banyuwangi";"None"
"5549";"99";"1";"Dua Warga Lumajang Carok Gara-gara Berebut Seorang Janda";"None"
"5550";"100";"1";"Pesan dari Kesultanan Sumbawa untuk Calon Putra Mahkota Pakualaman";"None"
"5551";"101";"1";"Ruko Bahan Sepatu di Mojokerto Terbakar, Pemilik Sempat Terjebak";"None"
"5552";"102";"1";"Proses Pencarian Korban Longsor Kampung Adat Dihentikan";"None"
"5553";"103";"1";"Pencarian Pendaki yang Hilang di Lawu Hari Ke-5 Masih Nihil";"None"
"5554";"104";"1";"KPU Beri Pertanyaan Debat, Tim Prabowo: Timses yang Bikin Jawaban";"None"
"5555";"105";"1";"Melihat Kesibukan Suplai Konsumsi Relawan Longsor Kampung Adat";"None"
"5556";"106";"1";"Disambar Kereta di Perlintasan KA, Dua Mahasiswi di Surabaya Kritis";"None"
"5557";"107";"1";"Tanggapan UGM soal Opsi ORI DIY Panggil Paksa Rektor";"None"
"5558";"108";"1";"Bermain di Dekat Palung, Wisatawan Hilang Terseret Ombak Parangtritis";"None"
"5559";"109";"1";"Dua Pelaku Carok Berebut Janda di Lumajang Jadi Tersangka";"None"
"5560";"110";"1";"Tim SAR Masih Mencari Rukesih di Timbunan Longsor Kampung Adat";"None"
"5561";"111";"1";"Perahu Nelayan Terbalik Dihantam Ombak di Bantul, 1 Orang Hilang";"None"
"5562";"112";"1";"Eks Pengelola Pasar Andir Tinggalkan Kerusakan Rp 15 Miliar";"None"
"5563";"113";"1";"Pemancing Ditemukan Tewas Mengambang di Sungai Citanduy Ciamis";"None"
"5564";"114";"1";"Baru Sampai Banjar, Warga Harap KA Pangandaran Bisa Terkoneksi";"None"
"5565";"115";"1";"Tim SAR Temukan Jasad Korban Longsor Kampung Adat yang ke-32";"None"
"5566";"116";"1";"Sopir Ngantuk, Truk Muat Pupuk Tabrak Panther di Ngawi";"None"
"5567";"117";"1";"Bus Rombongan Jemaah Gereja Terperosok di Tol Batang, 1 Orang Tewas";"None"
"5568";"118";"1";"Dalam Sepekan, Ada 3 Orang Tewas Gantung Diri di Gunungkidul";"None"
"5569";"119";"1";"Relawan PMI Bantu Identifikasi Korban Longsor Kampung Adat";"None"
"5570";"120";"1";"3 RS di Solo Diminta Layani Pasien BPJS Lagi Mulai Besok";"None"
"5571";"121";"1";"Fenomena Gunungan Busa di Sungai Hebohkan Warga Jombang";"None"
"5572";"122";"1";"Dugaan Korupsi Anggaran Sampah, 2 Pejabat Dinas LH Madiun Ditahan";"None"
"5573";"123";"1";"Mamih Bandung Sudah 2 Tahun Kendalikan Prostitusi Online";"None"
"5574";"124";"1";"Oded Sinergikan Satgas Anti Rentenir dan Pemuka Agama";"None"
"5575";"125";"1";"Cari Pendaki Hilang di Lawu, Basarnas Lacak HP Korban";"None"
"5576";"126";"1";"Pemkab Garut Pantau Kasus Kepsek Diduga Aniaya Siswa";"None"
"5577";"127";"1";"Polisi Limpahkan Berkas Kasus Pesta Seks di Sleman ke Kejaksaan";"None"
"5578";"128";"1";"Kunker ke Banyuwangi, Wawali Batu Belajar Inovasi Pelayanan Publik";"None"
"5579";"129";"1";"Pikap Muat Telur Sambar Biker di Perempatan Diponegoro";"None"
"5580";"130";"1";"Bupati Lumajang Tegaskan Tak Ada Pengusaha Tambang Bernama Rian";"None"
"5581";"131";"1";"Nelayan Hilang di Pantai Samas, Ditemukan Tewas di Kulon Progo";"None"
"5582";"132";"1";"Cerita Inspirasi Para Penerima Beasiswa Banyuwangi Cerdas";"None"
"5583";"133";"1";"Jumlah Wajib Pajak di Surabaya Meningkat";"None"
"5584";"134";"1";"Warga Tak Paham Aturan Swakelola, Banyumas Banyak Tumpukan Sampah";"None"
"5585";"135";"1";"Pelanggan Vanessa Angel dari Pengusaha Hingga Pejabat";"None"
"5586";"136";"1";"1.000 Tenaga Harian Lepas Pemkab Banyuwangi akan Dirasionalisasi";"None"
"5587";"137";"1";"Bapak Bejat, Perkosa Anak Kandung Hingga Hamil 6 Bulan";"None"
"5588";"138";"1";"2.000 Rumah Tak Layak Huni di Pasuruan Akan Dibedah";"None"
"5589";"139";"1";"13 Desa di Trenggalek Masuk Zona Bahaya Tsunami";"None"
"5590";"140";"1";"Perampok Sekap Suami-Istri Lansia di Bandung";"None"
"5591";"141";"1";"Nelangsa Pemuda Soreang Bandung Terbaring Tak Berdaya";"None"
"5592";"142";"1";"Bikers Brotherhood Bantah Deklarasi Dukung Jokowi-Ma'ruf";"None"
"5593";"143";"1";"Sebar Video Hoaks Polisi Ciamis Pungli, Pria Karawang Ditangkap";"None"
"5594";"144";"1";"Polisi Ragukan Pengakuan Kuli Bangunan Diserang Hewan Buas";"None"
"5595";"145";"1";"Menteri Jonan Heran Hanya 80 Nelayan Pasuruan Terima Konverter Kit";"None"
"5596";"146";"1";"Eks Pelatih Persigar: Wasit Nurul Korban Mafia Bola";"None"
"5597";"147";"1";"Sultan HB X akan Promosikan Bandara Kulon Progo di Finlandia";"None"
"5598";"148";"1";"Kata Dokter soal Kuli Bangunan Ngaku Terluka Diserang Hewan Buas";"None"
"5599";"149";"1";"Mobdin Disita Polisi, Ini Pengakuan Wakil Ketua DPRD Gunungkidul";"None"
"5600";"150";"1";"Pendaki Hilang di Gunung Lawu, Apakah Diserang Hewan Buas?";"None"
"5601";"151";"1";"Sopir Travel di Bandung Terapkan Standar Tarif Jasa Wisata";"None"
"5602";"152";"1";"Korupsi Rp 1 Miliar, Mantan Dirut PDAM Mojokerto Ditahan";"None"
"5603";"153";"1";"Calegnya Ditahan, DPC PPP Rembang Tak Ikut Campur";"None"
"5604";"154";"1";"Kiprah 4 Tahun Aiptu Sutomo Untuk Warga Diganjar Penghargaan";"None"
"5605";"155";"1";"Gempa M 5,4 di Sukabumi, BPBD Belum Terima Laporan Kerusakan";"None"
"5606";"156";"1";"Mobdin Wakil Ketua DPRD Gunungkidul Disita Polisi, Kenapa?";"None"
"5607";"157";"1";"Saat Jonan Dicurhati 2.100 Rumah di Probolinggo Belum Teraliri Listrik";"None"
"5608";"158";"1";"Ngabalin: Bandara Kulon Progo Dikebut Bukan Kepentingan Politik Jokowi";"None"
"5609";"159";"1";"Pencuri yang Awalnya Diduga Babi Ngepet di Jombang Ditangkap";"None"
"5610";"160";"1";"Jonan Resmikan Jaringan Gas Bumi Rumah Tangga di Kota Pasuruan";"None"
"5611";"161";"1";"Sindikat Pembobol ATM di Garut Diciduk";"None"
"5612";"162";"1";"Heboh Video Babi Ngepet di Garut, Begini Faktanya";"None"
"5613";"163";"1";"Aksi Kawanan Pencuri Todong Pegawai Kafe di Tasik Terekam CCTV";"None"
"5614";"164";"1";"Razia, Polisi Temukan Izin Stockpile Tambang Pasir Tak Lengkap";"None"
"5615";"165";"1";"Alami Gangguan Jiwa, Seorang Suami di Gunungkidul Lukai Istri";"None"
"5616";"166";"1";"Tiga Tahun Terakhir, Peredaran Upal di Cirebon Terus Menurun";"None"
"5617";"167";"1";"Dirjen PAS Isyaratkan Perlu Ada Fasilitas Suami-Istri Bagi Napi";"None"
"5618";"168";"1";"Polisi Sebut Kecelakaan KA Jayabaya Vs Mobil Akibat Kelalaian Sopir";"None"
"5619";"169";"1";"Tas Mewah dari Wahid Husen, Dirjen PAS: Demi Allah Baru Lihat";"None"
"5620";"170";"1";"Tangkap 2 Pemburu Hewan Langka, Polisi Selamatkan 79 Kukang Jawa";"None"
"5621";"171";"1";"ASN Pencatut Nama Gubernur Ganjar untuk Pungli Akhirnya Dipecat";"None"
"5622";"172";"1";"Sebelum Dibekuk, Caleg Gerindra yang Nyabu Sudah Diincar Polisi";"None"
"5623";"173";"1";"Barang Mewah di Sel Napi Sukamiskin, Dirjen PAS: Petugas Sulit Tolak";"None"
"5624";"174";"1";"Sudah Rp 12 M Digelontorkan untuk Nguruk Galian Basemen RS Siloam";"None"
"5625";"175";"1";"Bawaslu Jabar akan Kaji Dugaan Pelanggaran Pose 1 Jari Ridwan Kamil";"None"
"5626";"176";"1";"Surabaya Kembali Raih Peringkat Pertama Kota Cerdas 2018";"None"
"5627";"177";"1";"Rekaman Dirjen PAS dan Wahid Husein Bahas Setnov Diputar di Sidang";"None"
"5628";"178";"1";"Begini Jurus Pencuri yang Dikira Babi Ngepet saat Kepergok Warga";"None"
"5629";"179";"1";"Soal Penyitaan Buku PKI, Romo Benny: Hentikan Penghancuran Nalar";"None"
"5630";"180";"1";"Genangan Air Makin Tinggi, Jalan Raya Porong Lama Ditutup";"None"
"5631";"181";"1";"Waspada Trafficking, Wanita Jabar Jangan Tergiur Gaji Fantastis";"None"
"5632";"182";"1";"Gunung Merapi kembali Luncurkan Lava Pijar";"None"
"5633";"183";"1";"Lawan OSO, Warga Yogya Hadiahi Bawaslu DIY Jebakan Tikus";"None"
"5634";"184";"1";"Motor Tergelincir, Polisi Tewas Terlindas Truk di Bandung Barat";"None"
"5635";"185";"1";"Harusnya Wajib Lapor, Kemana Vanessa Angel dan Avriellia Shaqqila?";"None"
"5636";"186";"1";"Polisi Sebut Artis Prostitusi Online Berumur di Bawah 30 Tahun";"None"
"5637";"187";"1";"1 Bocah Tewas Tertimbun Longsor di Proyek Rel Ganda Sukabumi";"None"
"5638";"188";"1";"Lawan Putusan MA, Wisnu Wardhana Ajukan PK";"None"
"5639";"189";"1";"Cara Muncikari Tawarkan Jasa Artis Terungkap";"None"
"5640";"190";"1";"Penjelasan Karutan Solo soal Tahanan Pakai Perban Pascakeributan";"None"
"5641";"191";"1";"Sambutan Antusias untuk Seniman Banyuwangi di Festival Janadriyah";"None"
"5642";"192";"1";"Pengakuan Muncikari Online Saat Ajak Artis: Tak Ada Iming-iming";"None"
"5643";"193";"1";"Pascakeributan di Rutan Solo, 6 Napi Dipindah ke Polda Jateng";"None"
"5644";"194";"1";"Jalani Sidang Pledoi, Wali Kota Blitar Bantah Terima Suap Rp 1,5 M";"None"
"5645";"195";"1";"Diduga Terima 15 Transferan dari Prostitusi, Vanessa Angel Jadi Tersangka?";"None"
"5646";"196";"1";"Mahasiswi UGM Korban Dugaan Perkosaan Sudah Diperiksa Polda Maluku";"None"
"5647";"197";"1";"Polisi di Lamongan Ajak Santri Setop Sharing Berita Hoaks";"None"
"5648";"198";"1";"Kepala Rutan Solo Beberkan Penyebab Keributan Napi vs Pembesuk";"None"
"5649";"199";"1";"Mahasiswi UGM Korban Dugaan Perkosaan Tuntut Pelaku Minta Maaf";"None"
"5650";"200";"1";"11 Rumah Tertimpa Pohon Tumbang di Banjar";"None"
"5651";"201";"1";"Grace Natalie Ajak Masyarakat Lawan Politisi Busuk Penebar Hoaks";"None"
"5652";"202";"1";"Prabowo-Sandi Ubah Visi Misi, Grace Natalie: Nggak Bisa Dipercaya";"None"
"5653";"203";"1";"Ikan Caroang Tewaskan Andri, Nelayan Pangandaran Harus Waspada";"None"
"5654";"204";"1";"PSI Ingin Youtuber hingga Gamer Tercantum di Kolom Profesi KTP";"None"
"5655";"205";"1";"Ekspose BUMD, Oded Soroti Kinerja PT BII";"None"
"5656";"206";"1";"Puluhan Rumah di Ciamis Rusak Dihantam Badai";"None"
"5657";"207";"1";"Pidato Politik, Grace Natalie Ungkit Kebohongan Prabowo-Sandi";"None"
"5658";"208";"1";"Badai Tumbangkan Pohon dan Rusak Rumah Warga di Sukabumi";"None"
"5659";"209";"1";"Ratusan Rumah Rusak Akibat Puting Beliung di Rancaekek";"None"
"5660";"210";"1";"Pemkab Banyuwangi Sambut Baik Ground Breaking Pabrik PT INKA";"None"
"5661";"211";"1";"Respons Dewan Pendidikan Atas Kasus Pelajar Hamil Lalu Bunuh Bayi";"None"
"5662";"212";"1";"6 Artis Akan Dijemput Paksa Untuk Diperiksa Kasus Prostitusi Online";"None"
"5663";"213";"1";"Baliho Roboh Tutup Jalan, Jalur Mengkreng Kediri Macet";"None"
"5664";"214";"1";"Diterpa Hujan dan Angin Kencang, Sejumlah Pohon di DIY Tumbang";"None"
"5665";"215";"1";"Dua DPO Muncikari Segera Ditangkap, Polisi: Kuncinya di 2 Orang Ini";"None"
"5666";"216";"1";"Tablig PA 212 Dihadiri Dahnil, Bawaslu: Kalau Kampanye, Ditindak";"None"
"5667";"217";"1";"Kasus Bayi Dibuang ke Kloset, Polisi Cari Ayah Biologis";"None"
"5668";"218";"1";"2 Finalis Puteri Indonesia Diduga Masuk Jaringan Prostitusi Online";"None"
"5669";"219";"1";"Diterpa Hujan Berangin, Kaca Skybridge Stasiun Balapan Solo Pecah";"None"
"5670";"220";"1";"Pembangunan Underpass Karanglo Dimulai, Lalin di Malang Direkayasa";"None"
"5671";"221";"1";"Penampakan Senjata Sitaan Polisi dari Para Pelaku Bentrok di Solo";"None"
"5672";"222";"1";"10 Orang Ditetapkan Tersangka Usai Bentrok dengan Polisi di Solo";"None"
"5673";"223";"1";"Siapa Iwan Walet yang Terlibat Kerusuhan Rutan Solo?";"None"
"5674";"224";"1";"Polisi Kejar Pelaku Lain dalam Aksi Sweeping Bersenjata di Solo";"None"
"5675";"225";"1";"Ini Wajah 10 Orang Tangkapan Polisi Solo usai Bentrok Bersenjata";"None"
"5676";"226";"1";"2 Orang Warga Tertembak dan 1 Polisi Luka dalam Bentrok di Solo";"None"
"5677";"227";"1";"3 Pohon Tumbang Disingkirkan, Lalin Jember-Banyuwangi Kembali Normal";"None"
"5678";"228";"1";"10 Orang di Solo Ditangkap Karena Bawa Senjata dan Melawan Polisi";"None"
"5679";"229";"1";"Truk Fuso Terguling Timpa City Car di Sukabumi, Sopir Terjepit";"None"
"5680";"230";"1";"Berusaha Kabur, DPO Kasus Penjambretan Didor";"None"
"5681";"231";"1";"Pegiat Lintas Agama Dukung Jokowi, Berupaya Suara Tak Tergerus Hoaks";"None"
"5682";"232";"1";"Marbot Masjid di Sukabumi Ini Tinggal di Gubuk Seluas Pos Ronda";"None"
"5683";"233";"1";"Doakan 5 Korban Tewas KA Vs Mobil, Polisi Tabur Bunga di Atas Rel";"None"
"5684";"234";"1";"Dahsyatnya Puting Beliung di Lamongan Porak-porandakan Rumah Warga";"None"
"5685";"235";"1";"Truk Tabrak Mobil Patwal, Polisi: Kesalahan Mutlak Pengemudi Truk";"None"
"5686";"236";"1";"Masih Misteri, Polisi Kesulitan Ungkap Pembunuh Siswi SMK Bogor";"None"
"5687";"237";"1";"Keliling Jateng, Sandiaga Merasa Selalu Disambut Bendera PDIP";"None"
"5688";"238";"1";"HS Tetap Ingin Wisuda di UGM Bulan Februari";"None"
"5689";"239";"1";"Sandiaga Janji Bebaskan Pajak UMKM Berbasis Industri 4.0";"None"
"5690";"240";"1";"3 Pohon Tumbang di Gumitir, Jalur Jember-Banyuwangi Macet Total";"None"
"5691";"241";"1";"SMK Siliwangi Terendam Luapan Sungai Cibandung Sukabumi";"None"
"5692";"242";"1";"Bocah 10 Tahun di Boyolali Terseret Arus Sungai yang Meluap";"None"
"5693";"243";"1";"Akui Salah, Sopir Truk yang Tabrak Mobil Patwal Minta Maaf";"None"
"5694";"244";"1";"Donor Darah di Mal Surabaya Sabet 2 Rekor MURI, Apa saja?";"None"
"5695";"245";"1";"Sempat Tertutup Longsor, Garut-Bandung via Cisewu Bisa Dilewati";"None"
"5696";"246";"1";"Tagih Janji Jokowi, 1.850 Perangkat Desa Ciamis Pergi ke Jakarta";"None"
"5697";"247";"1";"Diduga Hanyut di Sungai, Bocah 5 Tahun di Purworejo Hilang";"None"
"5698";"248";"1";"Kecewa Revitalisasi Jalan Panggung, Pegiat Sejarah Surabaya Gelar Aksi";"None"
"5699";"249";"1";"Kasus Truk Tabrak Mobil Patwal Berakhir Secara Kekeluargaan";"None"
"5700";"250";"1";"Polisi Justice League Ajak Kaum Milenial Lari Sambil Perangi Hoaks";"None"
"5701";"251";"1";"Polisi Gelar Olah TKP Bentrokan dengan Pelaku Sweeping di Solo";"None"
"5702";"252";"1";"Empat Balita Jadi Korban Serangan Monyet Liar di Lumajang";"None"
"5703";"253";"1";"1 Lagi Ular Ditangkap Pascaserangan Piton ke Warga Gunungkidul";"None"
"5704";"254";"1";"Diduga Habitat Rusak, Monyet Liar Serbu Permukiman Warga di Lumajang";"None"
"5705";"255";"1";"BPBD Imbau Warga Rancaekek Tetap Siaga Cuaca Ekstrem";"None"
"5706";"256";"1";"Sopir Terimpit Kabin di Sukabumi Gegara Tertimpa Bak Truk";"None"
"5707";"257";"1";"Sudah 33 Hari Kaki Risma Cedera, Bagaimana Kondisinya Sekarang?";"None"
"5708";"258";"1";"Marbot Kosih Tinggal di Gubuk akan Punya Rumah Baru";"None"
"5709";"259";"1";"Dukungan Alumni PTN, Timses: Politik Akal Sehat di Kubu Jokowi";"None"
"5710";"260";"1";"Awali Tahun, Ary Ginanjar 'Isi Baterai' ASN Banyuwangi";"None"
"5711";"261";"1";"Trenyuh Ganjar Pranowo Saat Ditemui Bocah Tuna Netra di Kantornya";"None"
"5712";"262";"1";"Bocah Boyolali yang Hanyut Akhirnya Ditemukan di Waduk Kedungombo";"None"
"5713";"263";"1";"Identitas Mayat Pria Mengapung Bertato 'FarisT' Terungkap";"None"
"5714";"264";"1";"Pelaku Tinggalkan Jejak Stiker Usai Keroyok Band Asal Sukabumi";"None"
"5715";"265";"1";"Fakta Baru yang Bakal Menyeret Vanessa Angel Jadi Tersangka";"None"
"5716";"266";"1";"Banyak Posko di Solo, BPN: Saking Cintanya Djoko Santoso";"None"
"5717";"267";"1";"Prostitusi Online Model di Madiun, 2 Muncikari Jadi Tersangka";"None"
